epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82454,3.03554,4.82394,2.58503,0.01456,0.00133,0.0001,2e-05,3.4989,5.26245,3.11651,8.33e-06,8.33e-06,8.33e-06
2,13.7781,2.89408,4.71996,2.49973,3e-05,0.00427,0.0001,2e-05,3.44993,4.92571,3.13996,1.69664e-05,1.69664e-05,1.69664e-05
3,17.3348,2.93371,4.75259,2.51508,3e-05,0.00421,0.0001,3e-05,3.42815,4.8278,3.13496,2.46604e-05,2.46604e-05,2.46604e-05
4,20.9417,2.94536,4.75912,2.48792,3e-05,0.00499,0.00018,5e-05,3.37497,4.75002,3.08486,3.14118e-05,3.14118e-05,3.14118e-05
5,24.7486,2.89961,4.65222,2.47373,4e-05,0.00538,0.00034,9e-05,3.29198,4.67749,3.00693,3.72208e-05,3.72208e-05,3.72208e-05
6,28.5594,2.76817,4.64591,2.38703,4e-05,0.00582,0.00059,0.00019,3.17521,4.5911,2.90207,4.20873e-05,4.20873e-05,4.20873e-05
7,32.1243,2.75798,4.45084,2.40123,4e-05,0.00621,0.00088,0.00033,3.07233,4.53276,2.80853,4.60114e-05,4.60114e-05,4.60114e-05
8,35.5893,2.71705,4.48086,2.35914,0.01608,0.00233,0.00101,0.00041,2.93608,4.42786,2.69342,4.89929e-05,4.89929e-05,4.89929e-05
9,39.3749,2.77938,4.53639,2.36767,0.01505,0.00288,0.00135,0.00059,2.79796,4.32405,2.5672,5.1032e-05,5.1032e-05,5.1032e-05
10,42.9606,2.62671,4.40519,2.32044,0.01531,0.00316,0.00182,0.00072,2.70345,4.26106,2.4913,5.21285e-05,5.21285e-05,5.21285e-05
11,84.1639,2.58436,4.96805,2.27397,0.01502,0.0036,0.0023,0.00092,2.53901,4.16927,2.36637,5.22827e-05,5.22827e-05,5.22827e-05
12,88.0672,2.56751,4.93841,2.29066,0.01502,0.00405,0.0033,0.00115,2.44684,4.12018,2.29297,5.14943e-05,5.14943e-05,5.14943e-05
13,91.4627,2.5145,4.9032,2.24227,0.01644,0.00316,0.00286,0.00124,2.37416,4.0716,2.22977,4.8314e-05,4.8314e-05,4.8314e-05
14,95.0167,2.45234,4.79827,2.19921,0.0161,0.00327,0.00359,0.00136,2.34574,4.04661,2.19422,4.24235e-05,4.24235e-05,4.24235e-05
15,98.3032,2.47092,4.89972,2.22607,0.01734,0.00272,0.00366,0.00152,2.31141,4.03413,2.16373,3.6533e-05,3.6533e-05,3.6533e-05
16,101.599,2.52959,4.8816,2.24347,0.01872,0.00266,0.00547,0.00218,2.29399,4.02719,2.14282,3.06425e-05,3.06425e-05,3.06425e-05
17,104.849,2.44385,4.87466,2.20873,0.02064,0.00255,0.00535,0.00219,2.28866,4.02214,2.12546,2.4752e-05,2.4752e-05,2.4752e-05
18,108.199,2.40686,4.80495,2.18615,0.02011,0.00238,0.0056,0.00223,2.28089,4.02405,2.11504,1.88615e-05,1.88615e-05,1.88615e-05
19,111.896,2.38968,4.78298,2.16682,0.01932,0.00261,0.00564,0.00245,2.27819,4.0362,2.10691,1.2971e-05,1.2971e-05,1.2971e-05
20,115.317,2.38497,4.86681,2.16404,0.01882,0.00261,0.00512,0.00228,2.27934,4.04111,2.10232,7.0805e-06,7.0805e-06,7.0805e-06
